data_case,variant,sharing,alpha,seed,round,cum_mb,pooled_val,pooled_test
unfiltered,fedgen_zhu_pyhat_medoid,partial,1.0,seed_7,3,0.413665771484375,0.48525872947561144,0.49236714093603173
unfiltered,fedgen_zhu_pyhat_medoid,partial,1.0,seed_7,4,0.5170822143554688,0.5981652965505169,0.6093843547475002
unfiltered,fedgen_zhu_pyhat_medoid,partial,1.0,seed_7,5,0.6204986572265625,0.49619747178922335,0.5013582926835767
unfiltered,fedgen_zhu_pyhat_medoid,partial,1.0,seed_7,6,0.7239151000976562,0.42968477602795185,0.43798027228829284
unfiltered,fedgen_full,full,10.0,seed_123,0,8.389511108398438,0.6474856391001572,0.6436273240976553
unfiltered,fedgen_full,full,10.0,seed_123,1,16.779022216796875,0.6512924275001872,0.6479568052194111
unfiltered,fedgen_full,full,10.0,seed_123,2,25.168533325195312,0.6499864502993413,0.649775003571581
unfiltered,fedgen_full,full,10.0,seed_123,3,33.55804443359375,0.651083655138724,0.6478689917703391
unfiltered,fedgen_full,full,10.0,seed_123,4,41.94755554199219,0.6526811648463714,0.651577900795975
unfiltered,fedgen_full,full,10.0,seed_123,5,50.337066650390625,0.6537284140788522,0.6504644505115929
unfiltered,fedgen_full,full,10.0,seed_123,6,58.72657775878906,0.6529124724994563,0.6490287012782308
unfiltered,fedgen_full,full,10.0,seed_123,7,67.1160888671875,0.6537099436974281,0.6506885375706606
unfiltered,fedgen_full,full,10.0,seed_123,8,75.50559997558594,0.6550695491871962,0.6487045176942189
unfiltered,fedgen_full,full,10.0,seed_123,9,83.89511108398438,0.6528247203591384,0.6466825151732889
unfiltered,fedgen_full,full,10.0,seed_123,10,92.28462219238281,0.6508225381441901,0.6435523208950936
unfiltered,fedgen_full,full,10.0,seed_123,11,100.67413330078125,0.6435451008917843,0.639347344298834
unfiltered,fedgen_full,full,10.0,seed_123,12,109.06364440917969,0.6378657082036305,0.6361927288408202
unfiltered,fedgen_full,full,10.0,seed_123,13,117.45315551757812,0.6407223416735306,0.6403596568962617
unfiltered,fedgen_full_medoid,full,10.0,seed_123,0,8.389511108398438,0.6474856391001572,0.6436273240976553
unfiltered,fedgen_full_medoid,full,10.0,seed_123,1,16.779022216796875,0.6514924282133293,0.6478540464827438
unfiltered,fedgen_full_medoid,full,10.0,seed_123,2,25.168533325195312,0.6503619552931192,0.6484747767300555
unfiltered,fedgen_full_medoid,full,10.0,seed_123,3,33.55804443359375,0.6523858170291211,0.6485250951674795
unfiltered,fedgen_full_medoid,full,10.0,seed_123,4,41.94755554199219,0.6536759624744606,0.6502733643344814
unfiltered,fedgen_full_medoid,full,10.0,seed_123,5,50.337066650390625,0.6534033282343671,0.6503128889530866
unfiltered,fedgen_full_medoid,full,10.0,seed_123,6,58.72657775878906,0.653201758608517,0.6480822586520563
unfiltered,fedgen_full_medoid,full,10.0,seed_123,7,67.1160888671875,0.6529416756700863,0.6488147095368858
unfiltered,fedgen_full_medoid,full,10.0,seed_123,8,75.50559997558594,0.650507971146269,0.6464652813325187
unfiltered,fedgen_full_medoid,full,10.0,seed_123,9,83.89511108398438,0.6477342047930283,0.6447036088520386
unfiltered,fedgen_gmm,partial,10.0,seed_123,0,0.0196075439453125,0.6140960031948768,0.6175244963016344
unfiltered,fedgen_gmm,partial,10.0,seed_123,1,0.039215087890625,0.615435997275797,0.6191544156603419
unfiltered,fedgen_gmm,partial,10.0,seed_123,2,0.0588226318359375,0.6188898516307777,0.6198201794594287
unfiltered,fedgen_gmm,partial,10.0,seed_123,3,0.07843017578125,0.6029477017211685,0.601239654935187
unfiltered,fedgen_gmm,partial,10.0,seed_123,4,0.0980377197265625,0.5990930971406566,0.604647075072789
unfiltered,fedgen_gmm,partial,10.0,seed_123,5,0.117645263671875,0.5940477591291109,0.5881470690103268
unfiltered,fedgen_gmm,partial,10.0,seed_123,6,0.1372528076171875,0.6304908913920179,0.6281602693631093
unfiltered,fedgen_gmm,partial,10.0,seed_123,7,0.1568603515625,0.613308302044222,0.5982791568854547
unfiltered,fedgen_gmm,partial,10.0,seed_123,8,0.1764678955078125,0.6153621514072077,0.6089631792395985
